Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_464_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-22																																													
Time: 				10:32																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
F3	827	10452	17750	21475	23549	25441	26325	27859	28565	29741	30658	32955	34083	34551	33974	34126	33749	33613	33871	34692	34776	34868	34925	35048	36520	36172	35955	36133	36360	36406	36385	36265	36665	36896	36605	36771	36886	36583	36387	37033	36901	36495	36820	36963	37081	37108	37168	36885	37394
F4	877	10399	17391	21244	23144	24880	25631	26472	26646	27466	27887	28534	28440	29119	29783	30209	30594	31296	31210	31282	31669	31803	31232	31652	31931	32024	32169	31813	31060	31018	30830	30592	30694	30529	30612	30428	30252	30572	29947	30212	30212	30504	30066	30645	30140	30556	30433	30456	31066
F5	800	11474	19001	22639	24618	25863	26295	26791	27187	27654	27835	27820	28244	29011	28961	29113	30069	29889	30409	30581	30815	30985	31435	31655	31382	32243	31411	31805	31632	31783	32020	32190	32231	32135	31967	32140	32688	32488	32721	33457	33133	33143	33414	33390	33524	33885	33761	34039	34241
F6	493	1456	2284	2394	2816	2923	3135	3143	3252	3384	3279	3591	3260	3072	2878	2818	2720	2791	2698	2547	2508	2554	2386	2522	2489	2354	2469	2430	2426	2441	2365	2325	2232	2374	2322	2275	2255	2236	2163	2155	2099	2139	2141	2122	2111	2192	2115	2164	2188
F7	741	10404	17712	21065	22866	23794	25002	24741	25302	25387	25078	23005	21497	20959	19483	18178	16815	15691	15358	14526	14607	13936	14275	13862	13919	13861	14137	13991	14201	13830	14051	14035	13939	14185	13971	14086	14174	14173	14122	14161	14122	14282	14022	13877	13929	14023	13842	14051	13989
F8	940	10697	18465	23134	25783	27425	29173	30269	30895	31455	32669	33300	33451	34422	34849	35376	35432	35872	36473	36576	36262	36858	37477	38045	38170	38167	37990	38105	38500	38732	38549	38456	39626	37940	39652	38553	39309	38310	39282	39297	39849	39554	39877	39895	39493	39829	40427	40097	40020
F9	682	9951	16838	20733	22784	24204	24965	25947	25982	26544	27388	27509	27131	28089	28500	28548	28995	29788	29440	29613	30442	30066	30070	30787	31142	31067	31032	30956	31417	31308	31159	31832	31382	31589	31613	31317	31889	31943	32069	32147	32161	32071	32131	32414	32909	33033	33223	33306	33974
F10	722	7811	13340	16120	17737	19101	18925	18626	17783	16076	13915	14558	12759	12309	12097	11884	12060	11766	11757	11710	11590	11733	11399	11805	11573	12038	11990	12260	12238	12363	12336	12270	12551	12695	12379	12399	12467	12403	12265	12329	12301	12227	12026	11634	11508	11389	11318	10838	10672
F11	559	8060	17016	18411	21126	23189	25019	26795	27932	29231	30382	32574	31384	30615	30668	30063	30025	29615	29377	29135	29467	29869	30375	30929	31270	31181	31792	32198	32181	32637	32965	33380	33874	34036	34431	34679	34975	35429	34717	35100	35390	35881	35592	35716	36009	36057	36280	36340	37031
F12																																																	
G1																																																	
G2	611	7043	12412	14900	16433	18079	19071	19906	20872	21590	22493	23588	24261	23926	23890	23591	23763	23544	23737	24506	24314	24785	24458	25276	25485	25816	25803	25936	26225	26209	26324	26557	26742	26735	27017	26968	27021	27099	27191	27147	27877	27239	27391	27681	27485	28009	27725	28564	28314
G3	696	8242	16090	18873	20510	21959	23138	23813	25088	26518	26415	27474	29639	29413	29297	29550	29483	29608	29675	30157	30685	30519	31570	31895	32421	33623	33313	33725	35029	34443	34973	34764	35276	34680	34632	35631	34181	34085	34098	34074	34298	34690	34586	34941	35122	36244	36074	37218	37787
G4	880	8911	16869	20822	23114	25319	26623	27481	28573	29146	30076	28710	30447	32579	33344	34290	34796	35226	37193	37652	38115	38275	38512	38717	38487	38405	39879	40298	40333	40379	40285	39632	41098	40677	39943	41319	41069	40816	40976	40611	42262	41421	41456	41810	42707	41833	42931	42732	43038
G5	671	8600	14872	17591	19494	21104	22060	23381	23554	24628	25083	25493	25452	26707	26819	27597	27561	27872	28771	28807	28874	29161	29468	29619	30006	30206	30180	30031	30335	30276	30613	30265	30896	30800	31237	30562	30888	31405	30913	31318	31171	31207	31441	32248	31900	32251	32347	32917	32712
G6	839	7555	14504	17162	19422	21281	22697	23724	24420	25378	25969	26516	25972	25143	25037	24628	23915	23508	23558	23084	23040	23429	23755	24332	24215	24748	24673	25247	25444	25231	25237	25068	25651	26478	26219	25876	26275	26396	26538	26340	26246	26857	27127	27429	27362	27721	27910	28236	28520
G7	646	8477	16220	17833	20010	21842	23011	24165	25185	26102	27092	27286	26579	26581	26163	25938	25555	25062	24737	24775	24918	24971	25821	25879	25578	26166	26529	26975	26880	27003	27501	27525	27778	28132	28267	28738	28662	28563	28487	28708	28974	29119	29357	29826	28850	29599	30050	30045	29987
G8	841	8889	16435	19632	22369	24003	25334	27512	27861	29054	29838	30137	30538	31263	32056	32526	32659	33442	33840	33938	34103	34648	35356	35187	35303	35794	35936	35879	36155	36118	36718	36208	36685	36857	36208	36919	36909	36511	37500	37487	37971	38002	38451	37966	38402	38821	38633	38655	39419
G9	631	8304	14672	17626	19593	21708	23390	24246	25506	25725	26754	27327	27532	28273	28874	29778	29678	30755	30214	31314	31409	31281	32499	31918	32793	32824	33148	33171	33260	33727	33700	33661	33694	33866	34027	34371	33940	33955	34006	34447	34767	34789	35366	35417	35496	35519	35589	35822	35930
G10	779	6664	11367	14243	15811	16901	17421	18150	19080	20197	20462	21158	18590	18419	18191	17204	16755	16149	15148	14744	14934	14711	14656	14813	15032	15166	15340	15428	15599	15497	15689	15725	15341	15860	15805	15993	15865	15977	16058	16187	15934	16080	15913	15891	16029	16003	16208	16333	16386
G11	551	8887	15765	19660	22349	24841	26742	28514	29873	30692	32012	33221	31455	31142	30724	30408	30122	29076	28499	28750	28678	29369	29489	29646	30126	30092	30326	30937	31128	31728	31275	31717	32157	31859	32517	32746	32841	33063	32686	33067	33256	33235	33654	33251	33788	33702	34350	34678	34564
G12																																																	
H1																																																	
H2																																																	
H3																																																	
H4																																																	
H5																																																	
H6																																																	
H7																																																	
H8																																																	
H9																																																	
H10																																																	
H11																																																	
H12																																																	
																																																	
End Time				2017-06-22 10:31:57																																													
